Todo;Código postal;Municipio
Total Nacional;nd;nd
44001 Ababuj;44001; Ababuj
40001 Abades;40001; Abades
10001 Abadía;10001; Abadía
27001 Abadín;27001; Abadín
48001 Abadiño;48001; Abadiño
31001 Abáigar;31001; Abáigar
09001 Abajas;09001; Abajas
26001 Ábalos;26001; Ábalos
20001 Abaltzisketa;20001; Abaltzisketa
19001 Abánades;19001; Abánades
30001 Abanilla;30001; Abanilla
50001 Abanto;50001; Abanto
48002 Abanto y Ciérvana-Abanto Zierbena;48002; Abanto y Ciérvana-Abanto Zierbena
30002 Abarán;30002; Abarán
34001 Abarca de Campos;34001; Abarca de Campos
31002 Abárzuza/Abartzuza;31002; Abárzuza/Abartzuza
31003 Abaurregaina/Abaurrea Alta;31003; Abaurregaina/Abaurrea Alta
31004 Abaurrepea/Abaurrea Baja;31004; Abaurrepea/Abaurrea Baja
15001 Abegondo;15001; Abegondo
42001 Abejar;42001; Abejar
44002 Abejuela;44002; Abejuela
25001 Abella de la Conca;25001; Abella de la Conca
02001 Abengibre;02001; Abengibre
13001 Abenójar;13001; Abenójar
31005 Aberin;31005; Aberin
10002 Abertura;10002; Abertura
49002 Abezames;49002; Abezames
16001 Abia de la Obispalía;16001; Abia de la Obispalía
34003 Abia de las Torres;34003; Abia de las Torres
22001 Abiego;22001; Abiego
22002 Abizanda;22002; Abizanda
04001 Abla;04001; Abla
19002 Ablanque;19002; Ablanque
31006 Ablitas;31006; Ablitas
08001 Abrera;08001; Abrera
04002 Abrucena;04002; Abrucena
37001 Abusejo;37001; Abusejo
28001 Acebeda, La;28001; Acebeda, La
24001 Acebedo;24001; Acebedo
10003 Acebo;10003; Acebo
16002 Acebrón, El;16002; Acebrón, El
06001 Acedera;06001; Acedera
10004 Acehúche;10004; Acehúche
10005 Aceituna;10005; Aceituna
50002 Acered;50002; Acered
06002 Aceuchal;06002; Aceuchal
22003 Adahuesca;22003; Adahuesca
47001 Adalia;47001; Adalia
14001 Adamuz;14001; Adamuz
05001 Adanero;05001; Adanero
38001 Adeje;38001; Adeje
46001 Ademuz;46001; Ademuz
31007 Adiós;31007; Adiós
19003 Adobes;19003; Adobes
46002 Ador;46002; Ador
04003 Adra;04003; Adra
09003 Adrada de Haza;09003; Adrada de Haza
40002 Adrada de Pirón;40002; Adrada de Pirón
05002 Adrada, La;05002; Adrada, La
42003 Adradas;42003; Adradas
40003 Adrados;40003; Adrados
20002 Aduna;20002; Aduna
35001 Agaete;35001; Agaete
37002 Agallas;37002; Agallas
